,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/778187457214350451?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688480935_oLpKAWrbDCI7bSNs&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Apartment in San Rafael,Equipped Loft in SanRafa,1 bed,"$55 $48 night$48 per night, originally $55",https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43923,-99.16412
1,/rooms/565884739706661630?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688480935_YNOnFYFhHIURY%2BBX&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Loft in San Rafael,"Cozy Loft, close from Historic center",1 bed,"$44 $39 night$39 per night, originally $44",https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.438,-99.1655
2,/rooms/51882428?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688480935_ejQGblxEB1fd7FyN&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Apartment in San Rafael,Chic apartment @ 900m Reforma & Insurgentes,2 beds,"$100 $67 night$67 per night, originally $100",https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43588,-99.16266
3,/rooms/571693186732153670?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1688480935_mIMABTIpMrlArlPz&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Loft in San Rafael,Spacious loft. Ideal for long and comfortable stays,1 bed,$37 night$37 per night,https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43913,-99.16283
4,/rooms/40058448?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688480935_8WP9k0l%2FAzBDsvnz&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Apartment in San Rafael,Steps away from Reforma Av with private roofgarden,2 beds,$64 night$64 per night,https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.437,-99.1618
5,/rooms/4916861?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688480935_hZTH4JovuWP%2FEyiB&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Loft in San Rafael,Charming loft. Excelent location.,1 double bed,$54 night$54 per night,https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43638,-99.16074
6,/rooms/31419237?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-26&check_out=2023-08-01&source_impression_id=p3_1688480935_7dHlMvbonDmj121P&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Place to stay in San Rafael,Comfortable mini loft near Reforma,1 double bed,$42 night$42 per night,https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43738,-99.16473
7,/rooms/894247299753754776?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-28&source_impression_id=p3_1688480935_I5q9bOLlzQYE8iku&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Condo in San Rafael,Lumina apartment,2 beds,$55 night$55 per night,https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43672,-99.16473
8,/rooms/29032671?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688480935_6lDb9SxndJMDjdup&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Guest suite in San Rafael,"Comfortable private room, 1 person",1 double bed,$19 night$19 per night,https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43738,-99.16271
9,/rooms/766073233666194481?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-19&check_out=2023-07-24&source_impression_id=p3_1688480935_83APpXJ9zYz4EZ6O&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Loft in San Rafael,Beautiful loft with great location,1 bed,"$51 $45 night$45 per night, originally $51",https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4372,-99.1613
10,/rooms/53590314?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688480935_uChecx%2BnGjUo9P4h&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Apartment in San Rafael,New beautiful apartment with roof garden,2 beds,$73 night$73 per night,https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43656,-99.161
11,/rooms/594349300313212165?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688480935_xQl5HdL%2F9SFCZVL%2B&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Condo in Buenavista,Lovely one bedroom Condo in Mexico City,2 beds,$54 night$54 per night,https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4374,-99.15576
12,/rooms/851383540783961885?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688480935_f8%2FCNEbbtlZSdcIf&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Apartment in San Rafael,"Apartment, excellent location",2 beds,"$60 $52 night$52 per night, originally $60",https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4362,-99.1605
13,/rooms/36872067?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688480935_gIDUIJheWOsmTeNV&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Apartment in San Rafael,Luxury Apartment close to Downtown w/Roof Garden,3 beds,$77 night$77 per night,https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43674,-99.16072
14,/rooms/48418971?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688480935_sCwqB%2BGKd%2FXEw%2B1U&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Loft in San Rafael,"Compact loft, amazing terrace, close to Reforma",1 queen bed,"$61 $54 night$54 per night, originally $61",https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43648,-99.1629
15,/rooms/50898037?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688480935_TVWLekYp9aquE8ou&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Loft in San Rafael,"Cozy Loft (attic bed), at antique building (S.XIX)",1 bed,"$47 $37 night$37 per night, originally $47",https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43753,-99.16366
16,/rooms/892231679520798987?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-19&check_out=2023-07-24&source_impression_id=p3_1688480935_l5PXlKUERuVRUcfp&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Apartment in San Rafael,Dulce Tierra|Lujo y confort|Reforma|Gym•RoofGarden,1 queen bed,$67 night$67 per night,https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4378,-99.1645
17,/rooms/795718834951573150?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688480935_sv6NR2bgYBDX%2FGs7&previous_page_section_name=1000&federated_search_id=c04bebfc-4342-4661-bb99-6167002bbcfc,Condo in San Rafael,Nice apartment with great location,2 beds,$40 night$40 per night,https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.442,-99.1676
18,/rooms/851383540783961885?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688480966_pgSzykSKlq4Igky5&previous_page_section_name=1000&federated_search_id=ba714b8f-ed84-4451-814e-205248c94262,Apartment in San Rafael,"Apartment, excellent location",2 beds,"$53 $45 night$45 per night, originally $53",https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4362,-99.1605
19,/rooms/29032671?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688480966_n3GFnMvqGSMC3m41&previous_page_section_name=1000&federated_search_id=ba714b8f-ed84-4451-814e-205248c94262,Guest suite in San Rafael,"Comfortable private room, 1 person",1 double bed,$17 night$17 per night,https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.43738,-99.16271
20,/rooms/48417971?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688480966_TxqYrPfMT3Rv4FaM&previous_page_section_name=1000&federated_search_id=ba714b8f-ed84-4451-814e-205248c94262,Loft in San Rafael,"Compact loft, excellent area near Reforma",1 queen bed,$43 night$43 per night,https://www.airbnb.com/s/san-rafael-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.43593,-99.16527
